,vor_id,sum_pop_elderly,sum_pop_youth,sum_pop_general,sum_pop_women,sum_pop,min_pop,max_pop
104,vor228,1308.949992,6085.42572,25684.371426000005,12071.143518,40033.68359375,81.19205474853516,151.04986572265625
105,vor229,2031.207864,9443.26724,39856.60074200002,18731.809306,40752.85546875,76.76680755615234,153.284912109375
106,vor230,2769.414648,12875.256680000002,54341.78149400002,25539.556042,37448.33203125,82.37108612060547,152.951416015625
107,vor231,2333.097984,10846.78144,45780.32435200001,21515.841536,34659.41796875,71.27494812011719,142.6968994140625
108,vor232,2413.4341280000003,11228.831158,47353.64868400001,22269.533445999998,37130.6796875,89.05606842041016,137.98326110839844
109,vor233,3320.647904,15521.112236,65128.615112,30747.637404,43290.94921875,98.49652862548828,165.46978759765625
110,vor234,2634.177364,12338.363713,51655.513117,24430.06605,52339.25390625,119.11785888671876,173.61651611328125
111,vor235,2533.6023720000007,11867.275149,49683.264441,23497.30665,42379.4609375,60.63371276855469,170.64927673339844
112,vor236,573.869072,2687.9759240000008,11253.418916,5322.215400000001,20718.919921875,22.066818237304688,111.08876037597656
113,vor237,976.16904,4572.33018,19142.41362,9053.253,17139.79296875,15.147383689880373,106.32402801513672
114,vor238,414.13232,1939.77644,8121.023959999998,3840.774,12647.033203125,4.685945987701416,90.59561920166016
115,vor245,1275.91296,5931.8336,25036.114880000005,11766.47584,21224.0625,19.10556983947754,114.33824157714844
116,vor248,1273.634544,5921.241040000001,24991.407532000005,11745.464276,22168.95703125,32.478870391845696,131.94206237792972
117,vor249,1492.3624799999998,6938.1268,29283.312940000003,13762.57442,36446.9375,57.7380256652832,141.31610107421875
118,vor250,2233.986888,10386.00508,43835.55471400001,20601.838502,42345.02734375,67.61204528808594,151.39585876464844
119,vor251,1582.359912,7356.5329200000015,31049.253186,14592.531198,39826.1328125,78.6815185546875,149.946044921875
120,vor252,1912.730232,8892.45412,37531.818646000014,17639.207978,43335.078125,87.54547119140625,150.61180114746094
121,vor253,1560.71496,7255.9036000000015,30624.533380000004,14392.92134,41061.1796875,72.22747802734375,152.7435302734375
122,vor254,1973.108256,9173.15696,38716.56336800002,18196.014424,44392.53125,102.13607788085938,152.845703125
123,vor255,1729.3177440000002,8039.75304,33932.877132,15947.777075999997,41569.59375,76.96733856201172,150.96266174316406
124,vor256,2009.562912,9342.63792,39431.880936000016,18532.199448,43381.28125,94.77506256103516,151.50770568847656
125,vor257,2363.8566,10989.781000000004,46383.87355000002,21799.49765,36344.41796875,97.11215209960938,130.79988098144528
126,vor258,3364.259696,15739.646254,65978.765188,31173.478966,39193.91796875,74.39693450927734,168.31446838378906
127,vor259,3034.998288,14215.790196000002,59515.504164,28147.3866,42227.3984375,69.31216430664061,160.16546630859375
128,vor268,1158.574536,5386.31676,22733.686458000004,10684.380294,15091.287109375,14.091547966003418,111.10639190673828
129,vor269,1024.147992,4761.355720000001,20095.952926,9444.698018,17818.748046875,21.79934310913086,112.80158996582033
130,vor270,1344.26544,6249.610400000001,26377.33532000001,12396.82276,16468.44140625,15.478470802307127,106.41241455078124
