vor_id,res_value_sqyard,com_value_sqyard
vor398,4800.0,7560.0
vor399,24000.0,42000.0
vor400,48000.0,64800.0
vor401,48000.0,64800.0
vor402,7200.0,12000.0
vor403,4800.0,7560.0
vor404,4800.0,7560.0
vor405,4800.0,7560.0
vor406,4800.0,7560.0
vor407,4800.0,7560.0
vor408,4800.0,7560.0
vor409,3600.0,5400.0
vor410,3600.0,5400.0
vor411,3600.0,5400.0
vor412,3600.0,5400.0
vor413,3600.0,5400.0
vor414,3600.0,5400.0
vor415,3600.0,5400.0
vor416,3600.0,5400.0
vor417,3600.0,5400.0
vor418,3600.0,5400.0
vor419,3600.0,5400.0
vor420,3600.0,5400.0
vor421,3600.0,5400.0
vor422,3600.0,5400.0
vor423,3600.0,5400.0
vor424,3600.0,5400.0
vor425,3600.0,5400.0
vor426,3600.0,5400.0
vor427,3600.0,5400.0
vor428,38400.0,64800.0
vor429,38400.0,64800.0
vor430,38400.0,64800.0
vor431,4800.0,7560.0
vor432,13200.0,21600.0
vor433,13200.0,21600.0
vor434,13200.0,21600.0
vor435,7200.0,12000.0
vor436,48000.0,64800.0
vor437,48000.0,64800.0
vor438,24000.0,42000.0
vor439,24000.0,42000.0
vor440,24000.0,42000.0
vor441,24000.0,42000.0
vor442,24000.0,42000.0
vor443,24000.0,42000.0
vor444,24000.0,42000.0
vor445,24000.0,42000.0
vor446,3600.0,5400.0
vor447,3600.0,5400.0
vor448,3600.0,5400.0
vor449,3600.0,5400.0
vor450,3600.0,5400.0
vor451,3600.0,5400.0
vor452,3600.0,5400.0
vor453,3600.0,5400.0
vor454,3600.0,5400.0
vor455,3600.0,5400.0
vor456,3600.0,5400.0
vor457,3600.0,5400.0
vor458,3600.0,5400.0
vor459,3600.0,5400.0
vor460,3600.0,5400.0
vor461,3600.0,5400.0
vor462,3600.0,5400.0
vor463,3600.0,5400.0
vor464,3600.0,5400.0
vor465,3600.0,5400.0
vor466,3600.0,5400.0
vor467,3600.0,5400.0
vor468,3600.0,5400.0
vor469,3600.0,5400.0
vor470,4800.0,7560.0
vor471,4800.0,7560.0
vor472,4800.0,7560.0
vor473,4800.0,7560.0
vor474,13200.0,42000.0
vor475,7200.0,12000.0
vor476,7200.0,12000.0
vor477,48000.0,64800.0
vor478,24000.0,42000.0
vor479,24000.0,42000.0
vor480,24000.0,42000.0
vor481,24000.0,42000.0
vor482,24000.0,42000.0
vor483,24000.0,42000.0
vor484,24000.0,42000.0
vor485,24000.0,42000.0
vor486,24000.0,42000.0
vor487,24000.0,42000.0
vor488,12000.0,12000.0
vor489,12000.0,12000.0
vor490,12000.0,12000.0
vor491,12000.0,12000.0
vor492,3600.0,5400.0
vor493,3600.0,5400.0
vor494,3600.0,5400.0
vor495,3600.0,5400.0
vor496,3600.0,5400.0
vor497,3600.0,5400.0
vor498,3600.0,5400.0
vor499,3600.0,5400.0
vor500,3600.0,5400.0
vor501,3600.0,5400.0
vor502,3600.0,5400.0
vor503,3600.0,5400.0
vor504,3600.0,5400.0
vor505,3600.0,5400.0
vor506,3600.0,5400.0
vor507,3600.0,5400.0
vor508,3600.0,5400.0
vor509,3600.0,5400.0
vor510,3600.0,5400.0
vor511,3600.0,5400.0
vor512,4800.0,7560.0
vor513,4800.0,7560.0
vor514,4800.0,7560.0
vor515,4800.0,7560.0
vor516,7200.0,12000.0
vor517,7200.0,12000.0
vor518,7200.0,12000.0
vor519,24000.0,42000.0
vor520,24000.0,42000.0
vor521,24000.0,42000.0
vor522,24000.0,42000.0
vor523,24000.0,42000.0
vor524,24000.0,42000.0
vor525,24000.0,42000.0
vor526,24000.0,42000.0
vor527,12000.0,12000.0
vor528,12000.0,12000.0
vor529,12000.0,12000.0
vor530,12000.0,12000.0
vor531,12000.0,12000.0
vor532,12000.0,12000.0
vor533,12000.0,12000.0
vor534,12000.0,12000.0
vor535,12000.0,12000.0
vor536,12000.0,12000.0
vor537,12000.0,12000.0
vor538,12000.0,12000.0
vor539,12000.0,12000.0
vor540,12000.0,12000.0
vor541,12000.0,12000.0
vor542,12000.0,12000.0
vor543,12000.0,12000.0
vor544,12000.0,12000.0
vor545,12000.0,12000.0
vor546,12000.0,12000.0
vor547,12000.0,12000.0
vor548,3600.0,5400.0
vor549,3600.0,5400.0
vor550,3600.0,5400.0
vor551,3600.0,5400.0
vor552,3600.0,5400.0
vor553,3600.0,5400.0
vor554,4800.0,7560.0
vor555,4800.0,7560.0
vor556,4800.0,7560.0
vor557,4800.0,7560.0
vor558,4800.0,7560.0
vor559,7200.0,12000.0
vor560,7200.0,12000.0
vor561,7200.0,12000.0
vor562,24000.0,42000.0
vor563,24000.0,42000.0
vor564,24000.0,42000.0
vor565,24000.0,42000.0
vor566,24000.0,42000.0
vor567,12000.0,12000.0
vor568,12000.0,12000.0
vor569,12000.0,12000.0
vor570,12000.0,12000.0
vor571,12000.0,12000.0
vor572,12000.0,12000.0
vor573,12000.0,12000.0
vor574,12000.0,12000.0
vor575,12000.0,12000.0
vor576,12000.0,12000.0
vor577,12000.0,12000.0
vor578,12000.0,12000.0
vor579,12000.0,12000.0
vor580,12000.0,12000.0
vor581,12000.0,12000.0
vor582,12000.0,12000.0
vor583,12000.0,12000.0
vor584,12000.0,12000.0
vor585,12000.0,12000.0
vor586,12000.0,12000.0
vor587,12000.0,12000.0
vor588,12000.0,12000.0
vor589,12000.0,12000.0
vor590,12000.0,12000.0
vor591,12000.0,12000.0
vor592,12000.0,12000.0
vor593,12000.0,12000.0
vor594,12000.0,12000.0
vor595,12000.0,12000.0
vor596,12000.0,12000.0
vor597,12000.0,12000.0
vor598,3600.0,5400.0
vor599,3600.0,5400.0
vor600,3600.0,5400.0
vor601,3600.0,5400.0
vor602,3600.0,5400.0
vor603,3600.0,5400.0
vor604,3600.0,5400.0
vor605,7200.0,12000.0
vor606,7200.0,12000.0
vor607,24000.0,42000.0
vor608,24000.0,42000.0
vor609,24000.0,42000.0
vor610,12000.0,12000.0
vor611,12000.0,12000.0
vor612,12000.0,12000.0
vor613,12000.0,12000.0
vor614,12000.0,12000.0
vor615,12000.0,12000.0
vor616,12000.0,12000.0
vor617,12000.0,12000.0
vor618,12000.0,12000.0
vor619,12000.0,12000.0
vor620,12000.0,12000.0
vor621,12000.0,12000.0
vor622,12000.0,12000.0
vor623,12000.0,12000.0
