area,res_value_marla,com_value_marla,address
TARIQ COLONY SODIWAL,"475,974","1,105,488","TARIQ+COLONY+SODIWAL,LAHORE+,PAKISTAN"
TOHEED PARK,"483,652","1,105,488","TOHEED+PARK,LAHORE+,PAKISTAN"
UNION PARK ICHRA,"491,328","1,105,488","UNION+PARK+ICHRA,LAHORE+,PAKISTAN"
URDU NAGAR,"483,652","1,105,488","URDU+NAGAR,LAHORE+,PAKISTAN"
WAHDAT ROAD BHEKHEWAL MORE TO,"921,240","2,088,000","WAHDAT+ROAD+BHEKHEWAL+MORE+TO,LAHORE+,PAKISTAN"
MULTAN CHUNGI,,,"MULTAN+CHUNGI,LAHORE+,PAKISTAN"
WAHDAT ROAD MUSLIM TOWN MORE TO,"1,008,000","2,592,000","WAHDAT+ROAD+MUSLIM+TOWN+MORE+TO,LAHORE+,PAKISTAN"
BHEKEYWAL MOR,,,"BHEKEYWAL+MOR,LAHORE+,PAKISTAN"
ZAILDAR ROAD,"614,160","1,228,320","ZAILDAR+ROAD,LAHORE+,PAKISTAN"
AYUBIA MARKET (NEW MUSLIM TOWN ICHRA),-,"1,765,710","AYUBIA+MARKET+(NEW+MUSLIM+TOWN+ICHRA),LAHORE+,PAKISTAN"
COMMERCIAL ZONE KARIM BLOCK MARKET,-,"2,149,560","COMMERCIAL+ZONE+KARIM+BLOCK+MARKET,LAHORE+,PAKISTAN"
IQBAL TOWN,,,"IQBAL+TOWN,LAHORE+,PAKISTAN"
L.O.S. STOP GANDA NALATO MULTAN ROAD,"798,408","1,489,338","L.O.S.+STOP+GANDA+NALATO+MULTAN+ROAD,LAHORE+,PAKISTAN"
BOTH SIDES,,,"BOTH+SIDES,LAHORE+,PAKISTAN"
NONARIAN CHOWK TO G^NDA NALA (QARSHI,-,"1,320,444","NONARIAN+CHOWK+TO+G^NDA+NALA+(QARSHI,LAHORE+,PAKISTAN"
ROAD),,,"ROAD),LAHORE+,PAKISTAN"
PATHAR / MARBAL MARKET BACK FEROZEPUR,-,"2,794,428","PATHAR+/+MARBAL+MARKET+BACK+FEROZEPUR,LAHORE+,PAKISTAN"
ROAD (ICHRA),,,"ROAD+(ICHRA),LAHORE+,PAKISTAN"
SULTAN AHMED ROAD (ICHRA),"1,044,072","1,781,922","SULTAN+AHMED+ROAD+(ICHRA),LAHORE+,PAKISTAN"
SHAM NAGAR ROAD (CHOWK CHUBURJI TO,"644,868","1,243,674","SHAM+NAGAR+ROAD+(CHOWK+CHUBURJI+TO,LAHORE+,PAKISTAN"
BUND ROAD),,,"BUND+ROAD),LAHORE+,PAKISTAN"
PAKKI THATTI CHOWK TO 3RD GOL CHAKAR,"690,930","1,381,860","PAKKI+THATTI+CHOWK+TO+3RD+GOL+CHAKAR,LAHORE+,PAKISTAN"
KALYAR ROAD,"644,868","1,228,320","KALYAR+ROAD,LAHORE+,PAKISTAN"
RAJ GARH (OLD RIFLE RANGE ROAD),"406,882","1,090,134","RAJ+GARH+(OLD+RIFLE+RANGE+ROAD),LAHORE+,PAKISTAN"
,Residential,Commercial,"nan,LAHORE+,PAKISTAN"
,property,property per,"nan,LAHORE+,PAKISTAN"
,per marla,marla,"nan,LAHORE+,PAKISTAN"
,(in Rs.),(in Rs.),"nan,LAHORE+,PAKISTAN"
AFZAL COLONY (BELA BASTI RAM),"660,000","1,056,000","AFZAL+COLONY+(BELA+BASTI+RAM),LAHORE+,PAKISTAN"
AHMED PARK (BELA BASTI RAM),"660,000","1,056,000","AHMED+PARK+(BELA+BASTI+RAM),LAHORE+,PAKISTAN"
AKBARI MANDI (H WARD),"1,320,000","3,384,000","AKBARI+MANDI+(H+WARD),LAHORE+,PAKISTAN"
AKRAM COLONY (BAGHANWALA),"437,580","806,520","AKRAM+COLONY+(BAGHANWALA),LAHORE+,PAKISTAN"
AKRAM ROAD (BELA BASTI RAM),"660,000","1,056,000","AKRAM+ROAD+(BELA+BASTI+RAM),LAHORE+,PAKISTAN"
ALAMGIR MARKET,"2,591,160","2,304,000","ALAMGIR+MARKET,LAHORE+,PAKISTAN"
AL FATEH COLONY (BAGHANWALA),"437,580","806,520","AL+FATEH+COLONY+(BAGHANWALA),LAHORE+,PAKISTAN"
ALTAF PARK (BAGHANWALA),"437,580","806,520","ALTAF+PARK+(BAGHANWALA),LAHORE+,PAKISTAN"
AMIR ROAD BAGH/BELA,"1,056,000","1,320,000","AMIR+ROAD+BAGH/BELA,LAHORE+,PAKISTAN"
AZAM CLOTH MARKET (G WARD),"4,993,560","5,027,880","AZAM+CLOTH+MARKET+(G+WARD),LAHORE+,PAKISTAN"
AZIZ COLONY (SHAHDARA),"528,000","1,056,000","AZIZ+COLONY+(SHAHDARA),LAHORE+,PAKISTAN"
AZIZ ROAD MISRI SHAH,"792,000","1,056,000","AZIZ+ROAD+MISRI+SHAH,LAHORE+,PAKISTAN"
BADAMI BAGH BUS STAND,"2,848,560","2,865,720","BADAMI+BAGH+BUS+STAND,LAHORE+,PAKISTAN"
BADAMI BAGH PECO ROAD,"2,848,560","2,865,720","BADAMI+BAGH+PECO+ROAD,LAHORE+,PAKISTAN"
BADAMI BAGH PECO ROAD (OFF THE ROAD),"1,681,680","1,767,480","BADAMI+BAGH+PECO+ROAD+(OFF+THE+ROAD),LAHORE+,PAKISTAN"
BAGHANWALA (ADJOINING ABADIES),"437,580","806,520","BAGHANWALA+(ADJOINING+ABADIES),LAHORE+,PAKISTAN"
BANGALI PARK,"437,580","806,520","BANGALI+PARK,LAHORE+,PAKISTAN"
BARADARI ROAD,"388,800","858,000","BARADARI+ROAD,LAHORE+,PAKISTAN"
BEGUM KOT & ADJOINING ABADIES,"528,000","792,000","BEGUM+KOT+&+ADJOINING+ABADIES,LAHORE+,PAKISTAN"
BELA BASTI RAM (ADJOINING ABADIES),"528,000","924,000","BELA+BASTI+RAM+(ADJOINING+ABADIES),LAHORE+,PAKISTAN"
BELA BASTI RAM (WESTERN SIDE),"396,000","660,000","BELA+BASTI+RAM+(WESTERN+SIDE),LAHORE+,PAKISTAN"
BHAMMAN MAUZA,"171,600","514,800","BHAMMAN+MAUZA,LAHORE+,PAKISTAN"
BHATTI GATE (B WARD),"1,056,000","1,320,000","BHATTI+GATE+(B+WARD),LAHORE+,PAKISTAN"
BHUTTO COLONY (SHAHDARA),"528,000","924,000","BHUTTO+COLONY+(SHAHDARA),LAHORE+,PAKISTAN"
BUND ROAD RAVI BRIDGE TO BASI MORE(BOTH SIDE),"1,056,000","1,320,000","BUND+ROAD+RAVI+BRIDGE+TO+BASI+MORE(BOTH+SIDE),LAHORE+,PAKISTAN"
CHAK JIA MUSA FALLING IN RAVI TOWN,"660,000","1,584,000","CHAK+JIA+MUSA+FALLING+IN+RAVI+TOWN,LAHORE+,PAKISTAN"
CHAMAN COLONY,"446,160","823,680","CHAMAN+COLONY,LAHORE+,PAKISTAN"
CHATTA BAZAR (C WARD),"652,080","2,179,320","CHATTA+BAZAR+(C+WARD),LAHORE+,PAKISTAN"
CHIRAGE PARK (BAGHANWALA),"446,160","806,520","CHIRAGE+PARK+(BAGHANWALA),LAHORE+,PAKISTAN"
CHOHAN COLONY (RAM KISHAN WALA),"446,160","789,360","CHOHAN+COLONY+(RAM+KISHAN+WALA),LAHORE+,PAKISTAN"
CHOUDHARY PARK / COLONY,"446,160","806,520","CHOUDHARY+PARK+/+COLONY,LAHORE+,PAKISTAN"
CHOUHATTA MUFTI BAQIR (H WARD),"1,056,000","1,320,000","CHOUHATTA+MUFTI+BAQIR+(H+WARD),LAHORE+,PAKISTAN"
CHUNA MANDI (F WARD),"1,320,000","2,174,400","CHUNA+MANDI+(F+WARD),LAHORE+,PAKISTAN"
CIRCULAR ROAD,"2,640,000","3,300,000","CIRCULAR+ROAD,LAHORE+,PAKISTAN"
CITY CINEMA ROAD (C WARD),"600,600","1,355,640","CITY+CINEMA+ROAD+(C+WARD),LAHORE+,PAKISTAN"
DABI / KASHMIR BAZAR (F WARD),"1,056,000","2,088,000","DABI+/+KASHMIR+BAZAR+(F+WARD),LAHORE+,PAKISTAN"
DATA NAGAR,"792,000","1,320,000","DATA+NAGAR,LAHORE+,PAKISTAN"
DAULAT KHAN ROAD (SHAHDARA),"792,000","1,320,000","DAULAT+KHAN+ROAD+(SHAHDARA),LAHORE+,PAKISTAN"
DEHLI GATE (G WARD),"792,000","1,320,000","DEHLI+GATE+(G+WARD),LAHORE+,PAKISTAN"
ELAHI BUKHSH PARK (BELA BASTI RAM),"1,056,000","1,320,000","ELAHI+BUKHSH+PARK+(BELA+BASTI+RAM),LAHORE+,PAKISTAN"
ELAHI PARK,"446,160","858,000","ELAHI+PARK,LAHORE+,PAKISTAN"
ESA NAGAR,"446,160","806,520","ESA+NAGAR,LAHORE+,PAKISTAN"
FAISAL PARK (SHAHDARA),"792,000","1,056,000","FAISAL+PARK+(SHAHDARA),LAHORE+,PAKISTAN"
FARKHABAD,"792,000","1,056,000","FARKHABAD,LAHORE+,PAKISTAN"
FAROOQ GUNJ (BELA BASTI RAM),"792,000","1,320,000","FAROOQ+GUNJ+(BELA+BASTI+RAM),LAHORE+,PAKISTAN"
FAT EH PURI,"429,000","789,360","FAT+EH+PURI,LAHORE+,PAKISTAN"
FAZAL PARK (BELA BASTI RAM),"1,056,000","1,320,000","FAZAL+PARK+(BELA+BASTI+RAM),LAHORE+,PAKISTAN"
FEROZ COLONY (BELA BASTI RAM),"1,056,000","1,320,000","FEROZ+COLONY+(BELA+BASTI+RAM),LAHORE+,PAKISTAN"
FORT ROAD (A WARD),"1,056,000","1,320,000","FORT+ROAD+(A+WARD),LAHORE+,PAKISTAN"
FRUIT MARKET BADAMI BAGH,"2,848,560","2,900,040","FRUIT+MARKET+BADAMI+BAGH,LAHORE+,PAKISTAN"
ABDUL SATTAR ROAD (BELA BASTI RAM),"1,152,000","1,320,000","ABDUL+SATTAR+ROAD+(BELA+BASTI+RAM),LAHORE+,PAKISTAN"
GRAIN MARKET BADAMI BAGH,"2,848,560","2,900,040","GRAIN+MARKET+BADAMI+BAGH,LAHORE+,PAKISTAN"
GULISTAN TOWN/COLONY,"446,160","858,000","GULISTAN+TOWN/COLONY,LAHORE+,PAKISTAN"
GUMATI BAZAR (C WARD),"1,056,000","1,800,000","GUMATI+BAZAR+(C+WARD),LAHORE+,PAKISTAN"
GURR MANDI (H WARD),"1,056,000","1,584,000","GURR+MANDI+(H+WARD),LAHORE+,PAKISTAN"
HAMAD COLONY (BELA BASTI RAM),"792,000","1,056,000","HAMAD+COLONY+(BELA+BASTI+RAM),LAHORE+,PAKISTAN"
HANIF PARK (BELA BASTI RAM),"792,000","1,056,000","HANIF+PARK+(BELA+BASTI+RAM),LAHORE+,PAKISTAN"
HERNARAINPURA,"446,160","797,940","HERNARAINPURA,LAHORE+,PAKISTAN"
HUSSAIN PARK (BELA BASTI RAM),"446,160","858,000","HUSSAIN+PARK+(BELA+BASTI+RAM),LAHORE+,PAKISTAN"
IMAM BAKHSH PARK (BELA BASTI RAM),"446,160","858,000","IMAM+BAKHSH+PARK+(BELA+BASTI+RAM),LAHORE+,PAKISTAN"
NDUSTRIAL AREA BADAMI BAGH,"2,848,560","2,900,040","NDUSTRIAL+AREA+BADAMI+BAGH,LAHORE+,PAKISTAN"
IQBAL PARK,"446,160","858,000","IQBAL+PARK,LAHORE+,PAKISTAN"
ITTIFAQ COLONY (KOT SHAHAB DIN),"792,000","1,056,000","ITTIFAQ+COLONY+(KOT+SHAHAB+DIN),LAHORE+,PAKISTAN"
JAHANGIR PARK (BELA BASTI RAM),"446,160","858,000","JAHANGIR+PARK+(BELA+BASTI+RAM),LAHORE+,PAKISTAN"
JAMAIL PARK (SHAHDARA) 1,"308,880","772,200","JAMAIL+PARK+(SHAHDARA)+1,LAHORE+,PAKISTAN"
JAViD PARK (SHAHDARA) 1,"308,880","772,200","JAViD+PARK+(SHAHDARA)+1,LAHORE+,PAKISTAN"
JIA MUSA,"446,160","797,940","JIA+MUSA,LAHORE+,PAKISTAN"
KALA KHATAI ROAD,"446,160","789,360","KALA+KHATAI+ROAD,LAHORE+,PAKISTAN"
KASERA BAZAR (F WARD),"892,320","2,505,360","KASERA+BAZAR+(F+WARD),LAHORE+,PAKISTAN"
KASHMIR PARK (SHAHDARA),"446,160","797,940","KASHMIR+PARK+(SHAHDARA),LAHORE+,PAKISTAN"
KHALID PARK (BELA BASTI RAM),"446,160","858,000","KHALID+PARK+(BELA+BASTI+RAM),LAHORE+,PAKISTAN"
KHOI MEERAN MAUZA,"583,440","1,115,400","KHOI+MEERAN+MAUZA,LAHORE+,PAKISTAN"
KHOKHAR MAUZA,"291,720","600,600","KHOKHAR+MAUZA,LAHORE+,PAKISTAN"
KHOKHAR ROAD,"1,218,360","1,218,360","KHOKHAR+ROAD,LAHORE+,PAKISTAN"
KHURSHID PARK (RAM KISHAN WALA),"446,160","806,520","KHURSHID+PARK+(RAM+KISHAN+WALA),LAHORE+,PAKISTAN"
KINARI BAZAR (F WARD),"858,000","2,505,360","KINARI+BAZAR+(F+WARD),LAHORE+,PAKISTAN"
KOT BEGUM,"446,160","797,940","KOT+BEGUM,LAHORE+,PAKISTAN"
KOT MOHIBOO (ADJOINING ABADIES),"446,160","797,940","KOT+MOHIBOO+(ADJOINING+ABADIES),LAHORE+,PAKISTAN"
KOT SHAHAB DIN (SHAHDARA),"446,160","797,940","KOT+SHAHAB+DIN+(SHAHDARA),LAHORE+,PAKISTAN"
LAJPAT NAGAR (SHAHDARA),"446,160","797,940","LAJPAT+NAGAR+(SHAHDARA),LAHORE+,PAKISTAN"
LAJPAT ROAD SHAHDARA,"549,120","1,304,160","LAJPAT+ROAD+SHAHDARA,LAHORE+,PAKISTAN"
LALAZAR COLONY (SHAHDARA),"446,160","797,940","LALAZAR+COLONY+(SHAHDARA),LAHORE+,PAKISTAN"
LANGAY MANDI (C WARD),"600,600","1,372,800","LANGAY+MANDI+(C+WARD),LAHORE+,PAKISTAN"
LOHARI GATE (D WARD),"600,600","1,441,440","LOHARI+GATE+(D+WARD),LAHORE+,PAKISTAN"
LOHARI MANDI (D WARD),"600,600","1,441,440","LOHARI+MANDI+(D+WARD),LAHORE+,PAKISTAN"
LOON MANDI (H WARD),"772,200","1,458,600","LOON+MANDI+(H+WARD),LAHORE+,PAKISTAN"
MAIN ROAD SHAHDARA TOWN,"463,320","839,520","MAIN+ROAD+SHAHDARA+TOWN,LAHORE+,PAKISTAN"
MAUZA JHUGGIAN,"171,600","257,400","MAUZA+JHUGGIAN,LAHORE+,PAKISTAN"
MAUZA NAIN SUKH,"308,880","669,240","MAUZA+NAIN+SUKH,LAHORE+,PAKISTAN"
MEHAR PARK(BAGHANWALA),"446,160","797,280","MEHAR+PARK(BAGHANWALA),LAHORE+,PAKISTAN"
MEHAR SUBA PARK(BAGHANWALA),"446,160","823,680","MEHAR+SUBA+PARK(BAGHANWALA),LAHORE+,PAKISTAN"
MISRI SHAH,"600,600","1,115,400","MISRI+SHAH,LAHORE+,PAKISTAN"
MOCHI GATE,"875,160","1,510,080","MOCHI+GATE,LAHORE+,PAKISTAN"
MOHALLAH KAKEYZAIYAN (F WARD),"840,840","2,522,520","MOHALLAH+KAKEYZAIYAN+(F+WARD),LAHORE+,PAKISTAN"
MORI GATE (B-WARD),"600,600","1,458,600","MORI+GATE+(B-WARD),LAHORE+,PAKISTAN"
MOTI BAZAR (C-WARD),"652,080","2,402,400","MOTI+BAZAR+(C-WARD),LAHORE+,PAKISTAN"
MUHAMMADI PARK,"446,160","823,680","MUHAMMADI+PARK,LAHORE+,PAKISTAN"
NABI BUX PARK.(BELA RAM BASTI),"924,000","1,320,000","NABI+BUX+PARK.(BELA+RAM+BASTI),LAHORE+,PAKISTAN"
NASEEM PARK,"446,160","858,000","NASEEM+PARK,LAHORE+,PAKISTAN"
NATIONAL FAN COLONY SHAHDARA,"446,160","797,940","NATIONAL+FAN+COLONY+SHAHDARA,LAHORE+,PAKISTAN"
NAULAKHA MOUZA FALLING IN RAVI TOWN,"600,600","1,012,440","NAULAKHA+MOUZA+FALLING+IN+RAVI+TOWN,LAHORE+,PAKISTAN"
NEW MALIK PARK  MALIK BAGH,"446,160","814,440","NEW+MALIK+PARK++MALIK+BAGH,LAHORE+,PAKISTAN"
GHULAM HUSSAIN PARK,"446,160","858,000","GHULAM+HUSSAIN+PARK,LAHORE+,PAKISTAN"
PAKISTAN CLOTH MARKET (G.WARD),"2,848,560","2,917,200","PAKISTAN+CLOTH+MARKET+(G.WARD),LAHORE+,PAKISTAN"
PANIWALI TELAB(C-WARD),"617,760","1,389,960","PANIWALI+TELAB(C-WARD),LAHORE+,PAKISTAN"
PINDIDAR ROAD,"540,540","960,960","PINDIDAR+ROAD,LAHORE+,PAKISTAN"
PIPPLE WHARA(PLASTIC MARKET),"858,000","1,389,960","PIPPLE+WHARA(PLASTIC+MARKET),LAHORE+,PAKISTAN"
QADDAFI COLONY BELA BASTI RAM,"446,160","858,000","QADDAFI+COLONY+BELA+BASTI+RAM,LAHORE+,PAKISTAN"
QAISAR TOWN SHAHDARA,"248,820","772,200","QAISAR+TOWN+SHAHDARA,LAHORE+,PAKISTAN"
QAMAR PARK(RAMKISHANWALA),"429,000","789,360","QAMAR+PARK(RAMKISHANWALA),LAHORE+,PAKISTAN"
QILLA LACHMAN SINGH AND ADJOININGABADIES,"583,440","1,115,400","QILLA+LACHMAN+SINGH+AND+ADJOININGABADIES,LAHORE+,PAKISTAN"
RAHEEM PARK BELA BASTI RAM,"549,120","1,012,440","RAHEEM+PARK+BELA+BASTI+RAM,LAHORE+,PAKISTAN"
RAHEEM ROAD,"1,312,740","1,372,800","RAHEEM+ROAD,LAHORE+,PAKISTAN"
RAMKISHANWALA,"446,160","823,680","RAMKISHANWALA,LAHORE+,PAKISTAN"
RANGMAHAL MAIN (E-WARD),"5,422,560","5,550,600","RANGMAHAL+MAIN+(E-WARD),LAHORE+,PAKISTAN"
RANG MAHAL BACK SIDE(D-WARD),"686,400","1,630,200","RANG+MAHAL+BACK+SIDE(D-WARD),LAHORE+,PAKISTAN"
RAVI CLIFTON COLONY PARK SHAHDARA,"429,000","797,940","RAVI+CLIFTON+COLONY+PARK+SHAHDARA,LAHORE+,PAKISTAN"
RAVI PARK,"2,640,000","3,300,000","RAVI+PARK,LAHORE+,PAKISTAN"
RAVI ROAD EASTERN SIDE,"1,987,200","10,560,000","RAVI+ROAD+EASTERN+SIDE,LAHORE+,PAKISTAN"
RUSTAM COLONY BELA BASTI RAM,"446,160","797,940","RUSTAM+COLONY+BELA+BASTI+RAM,LAHORE+,PAKISTAN"
SAEED PARK,"446,160","797,940","SAEED+PARK,LAHORE+,PAKISTAN"
SAGGIAN KALANWAR,"257,400","497,640","SAGGIAN+KALANWAR,LAHORE+,PAKISTAN"
SAGGIAN ROAD (TOLL PLAZA TO CHOWKNAINSUKH),"858,000","875,160","SAGGIAN+ROAD+(TOLL+PLAZA+TO+CHOWKNAINSUKH),LAHORE+,PAKISTAN"
SAID METHA BAZAR,"858,000","2,127,840","SAID+METHA+BAZAR,LAHORE+,PAKISTAN"
SAJJAD PARK,"446,160","789,360","SAJJAD+PARK,LAHORE+,PAKISTAN"
SHAHALAM  GATE (E-WARD),"5,834,400","5,834,400","SHAHALAM++GATE+(E-WARD),LAHORE+,PAKISTAN"
SHAHALAM  MARKET(BACK SIDE),"2,745,600","2,745,600","SHAHALAM++MARKET(BACK+SIDE),LAHORE+,PAKISTAN"
SHAHDARA TOWN,"257,400","755,040","SHAHDARA+TOWN,LAHORE+,PAKISTAN"
SHAHEEN PARK BELA BASTI RAM,"446,160","858,000","SHAHEEN+PARK+BELA+BASTI+RAM,LAHORE+,PAKISTAN"
SHAHIMAHALLAH (A-WARD),"566,280","1,355,640","SHAHIMAHALLAH+(A-WARD),LAHORE+,PAKISTAN"
SHARAIF PARK BELA BASTI RAM,"446,160","858,000","SHARAIF+PARK+BELA+BASTI+RAM,LAHORE+,PAKISTAN"
SHARKPUR ROAD (BEGUM KOT CHOWK TOSAEED CHOWK,"634,920","909,480","SHARKPUR+ROAD+(BEGUM+KOT+CHOWK+TOSAEED+CHOWK,LAHORE+,PAKISTAN"
SH. COLONY BELA BASTI RAM,"446,160","858,000","SH.+COLONY+BELA+BASTI+RAM,LAHORE+,PAKISTAN"
SHEKIHUPURA ROAD,"1,106,820","1,106,160","SHEKIHUPURA+ROAD,LAHORE+,PAKISTAN"
SHERSHAH ROAD BELA BASTI RAM,"566,280","995,280","SHERSHAH+ROAD+BELA+BASTI+RAM,LAHORE+,PAKISTAN"
SHERANWALA GATE(G-WARD),"789,360","1,441,440","SHERANWALA+GATE(G-WARD),LAHORE+,PAKISTAN"
SHOE MARKET,"2,659,800","2,659,800","SHOE+MARKET,LAHORE+,PAKISTAN"
SIDDIQ GUNJ BELA BASTI RAM,"583,440","1,012,440","SIDDIQ+GUNJ+BELA+BASTI+RAM,LAHORE+,PAKISTAN"
SIDDIQ SIDDIQIA COLONY BELA BASTI RAM,"446,160","772,200","SIDDIQ+SIDDIQIA+COLONY+BELA+BASTI+RAM,LAHORE+,PAKISTAN"
SIRAJ DIN PARK BELA BASTI RAM,"446,160","858,000","SIRAJ+DIN+PARK+BELA+BASTI+RAM,LAHORE+,PAKISTAN"
SOHA BAZAR (E-WARD),"5,577,000","5,577,000","SOHA+BAZAR+(E-WARD),LAHORE+,PAKISTAN"
SOOTER MANDI( D-WARD),"600,600","1,389,960","SOOTER+MANDI(+D-WARD),LAHORE+,PAKISTAN"
SABZI MARKET BADAMI BAGH,"2,865,720","2,917,200","SABZI+MARKET+BADAMI+BAGH,LAHORE+,PAKISTAN"
SUI GAS ROAD,"514,800","1,201,200","SUI+GAS+ROAD,LAHORE+,PAKISTAN"
TAJ GHAZI PARK (BELA BASTI RAM),"446,160","858,000","TAJ+GHAZI+PARK+(BELA+BASTI+RAM),LAHORE+,PAKISTAN"
TAJ PARK (BELA BASTI RAM),"446,160","858,000","TAJ+PARK+(BELA+BASTI+RAM),LAHORE+,PAKISTAN"
TAR GHAR,"300,300","789,360","TAR+GHAR,LAHORE+,PAKISTAN"
TAXALI GATE (A-WARD),"634,920","1,389,960","TAXALI+GATE+(A-WARD),LAHORE+,PAKISTAN"
TIMBER MARKET,"2,419,560","2,419,560","TIMBER+MARKET,LAHORE+,PAKISTAN"
TOHEED PARK (BELA BASTI RAM),"446,160","1,029,600","TOHEED+PARK+(BELA+BASTI+RAM),LAHORE+,PAKISTAN"
TRUCK  STAND,"2,917,200","2,917,200","TRUCK++STAND,LAHORE+,PAKISTAN"
NOOR ROAD BELA BASTI RAM,"1,372,800","1,458,600","NOOR+ROAD+BELA+BASTI+RAM,LAHORE+,PAKISTAN"
YAKKI GATE (G WARD),"772,200","1,441,440","YAKKI+GATE+(G+WARD),LAHORE+,PAKISTAN"
ABU BAKAR ROAD BADAMI BAGH (BELA BASTIRAM),"960,960","960,960","ABU+BAKAR+ROAD+BADAMI+BAGH+(BELA+BASTIRAM),LAHORE+,PAKISTAN"
ALLAMA IQBAL COLONY / PARK,"463,320","823,680","ALLAMA+IQBAL+COLONY+/+PARK,LAHORE+,PAKISTAN"
AZAM CLOTH MARKET EXTENSION,"4,633,200","4,633,200","AZAM+CLOTH+MARKET+EXTENSION,LAHORE+,PAKISTAN"
KASHMIRI GATE,"858,000","1,424,280","KASHMIRI+GATE,LAHORE+,PAKISTAN"
MASTI GATE,"600,600","1,458,600","MASTI+GATE,LAHORE+,PAKISTAN"
MOUZA NAIN SUKH INDUSTRIAL,"669,240","801,240","MOUZA+NAIN+SUKH+INDUSTRIAL,LAHORE+,PAKISTAN"
SHAHDARA MOUZA INDUSTRIAL,"755,040","755,040","SHAHDARA+MOUZA+INDUSTRIAL,LAHORE+,PAKISTAN"
WANDALA ROAD (SHAHDARA),"446,160","823,680","WANDALA+ROAD+(SHAHDARA),LAHORE+,PAKISTAN"
AALIA TOWN MEHMOOD BOOTI NEW,"464,070","407,609","AALIA+TOWN+MEHMOOD+BOOTI+NEW,LAHORE+,PAKISTAN"
ABDULLAH PARK,"748,500","649,154","ABDULLAH+PARK,LAHORE+,PAKISTAN"
ACHANT GARH,"988,020","966,182","ACHANT+GARH,LAHORE+,PAKISTAN"
AFZAAL PARK,"748,500","694,444","AFZAAL+PARK,LAHORE+,PAKISTAN"
AKBAR ROAD,"1,227,540","883,151","AKBAR+ROAD,LAHORE+,PAKISTAN"
AKRAM ROAD (KHOI MIRAN),"748,500","883,151","AKRAM+ROAD+(KHOI+MIRAN),LAHORE+,PAKISTAN"
ALTAF PARK AMIR ROAD,"748,500","694,444","ALTAF+PARK+AMIR+ROAD,LAHORE+,PAKISTAN"
AMIR ROAD SHAHD BAGH,"1,736,520","1,207,728","AMIR+ROAD+SHAHD+BAGH,LAHORE+,PAKISTAN"
ANGOORI BAGH,"748,500","558,575","ANGOORI+BAGH,LAHORE+,PAKISTAN"
ASHRAF PARK AMIR ROAD,"793,410","754,830","ASHRAF+PARK+AMIR+ROAD,LAHORE+,PAKISTAN"
ASHRAF PARK WASAN PURA,"793,410","724,637","ASHRAF+PARK+WASAN+PURA,LAHORE+,PAKISTAN"
AZIZ ROAD,"1,017,960","981,280","AZIZ+ROAD,LAHORE+,PAKISTAN"
BAGHANWALA AND ADJOINING AREAS,"763,470","709,541","BAGHANWALA+AND+ADJOINING+AREAS,LAHORE+,PAKISTAN"
BAGHAT PURA AND ADJOINING AREAS,"778,440","717,089","BAGHAT+PURA+AND+ADJOINING+AREAS,LAHORE+,PAKISTAN"
BAGHBANPURA,"748,500","664,250","BAGHBANPURA,LAHORE+,PAKISTAN"
"BAGHBANPURA, NEW ABADI","673,650","581,219","BAGHBANPURA,+NEW+ABADI,LAHORE+,PAKISTAN"
BAND ROAD FOLLOWING IN SHALIMAR TOWN,"2,245,500","1,132,246","BAND+ROAD+FOLLOWING+IN+SHALIMAR+TOWN,LAHORE+,PAKISTAN"
BEGUM PURA,"748,500","649,154","BEGUM+PURA,LAHORE+,PAKISTAN"
BELA BASTI RAAM (INSIDE RIVER BED),"389,220","392,512","BELA+BASTI+RAAM+(INSIDE+RIVER+BED),LAHORE+,PAKISTAN"
BELA BASTI RAAM (WESTERN SIDE),"374,250","467,995","BELA+BASTI+RAAM+(WESTERN+SIDE),LAHORE+,PAKISTAN"
BELA BASTI RAM AND ADJOINING AREAS,"778,440","724,637","BELA+BASTI+RAM+AND+ADJOINING+AREAS,LAHORE+,PAKISTAN"
BHARAT NAGAR (PARK NAGAR),"838,320","769,927","BHARAT+NAGAR+(PARK+NAGAR),LAHORE+,PAKISTAN"
BHOGIWAL,"479,040","362,318","BHOGIWAL,LAHORE+,PAKISTAN"
BHOGIWAL ROAD,"823,350","739,734","BHOGIWAL+ROAD,LAHORE+,PAKISTAN"
BILAL PARK,"748,500","649,154","BILAL+PARK,LAHORE+,PAKISTAN"
CHAH MIRAN ROAD,"988,020","1,056,762","CHAH+MIRAN+ROAD,LAHORE+,PAKISTAN"
CHAMRA MANDI,"973,050","769,927","CHAMRA+MANDI,LAHORE+,PAKISTAN"
CHIRAGH PARK,"778,440","709,541","CHIRAGH+PARK,LAHORE+,PAKISTAN"
ELAHI BAKSH PARK (BELA BASTI RAM),"778,440","754,830","ELAHI+BAKSH+PARK+(BELA+BASTI+RAM),LAHORE+,PAKISTAN"
ELAHI PARK (KHOL MIRAN),"778,440","754,830","ELAHI+PARK+(KHOL+MIRAN),LAHORE+,PAKISTAN"
ESA NAGAR,"778,440","709,541","ESA+NAGAR,LAHORE+,PAKISTAN"
FAIZ BAGH,"898,200","845,410","FAIZ+BAGH,LAHORE+,PAKISTAN"
FAROOQ GUNJ,"748,500","754,830","FAROOQ+GUNJ,LAHORE+,PAKISTAN"
