area,res_value_marla,com_value_marla,address
RAIWIND ROAD BHOBATIAN TO RAIWIND,"283,800","691,200","RAIWIND+ROAD+BHOBATIAN+TO+RAIWIND,LAHORE+,PAKISTAN"
RAIWIND ROAD MAIN (THOKAR CHOWK TOBHOBATIAN),"324,150","708,000","RAIWIND+ROAD+MAIN+(THOKAR+CHOWK+TOBHOBATIAN),LAHORE+,PAKISTAN"
RAIWIND SUNDAR ROAD,"200,550","405,300","RAIWIND+SUNDAR+ROAD,LAHORE+,PAKISTAN"
RAJPUT SCHEME,"427,200","657,600","RAJPUT+SCHEME,LAHORE+,PAKISTAN"
RAKH KHAMBA,"228,300","403,200","RAKH+KHAMBA,LAHORE+,PAKISTAN"
RANA TOWN,"475,200","2,664,000","RANA+TOWN,LAHORE+,PAKISTAN"
RASOOLPURA NIAZ BAIG,"294,300","571,800","RASOOLPURA+NIAZ+BAIG,LAHORE+,PAKISTAN"
REVENUE EMPLOYEES COOP SOCIETY,"448,200","693,300","REVENUE+EMPLOYEES+COOP+SOCIETY,LAHORE+,PAKISTAN"
SABZAZAR SCHME,"576,000","1,057,800","SABZAZAR+SCHME,LAHORE+,PAKISTAN"
SAIDPUR,"456,600","756,000","SAIDPUR,LAHORE+,PAKISTAN"
SAIDPUR IQBAL TOWN SIDE,"405,300","633,600","SAIDPUR+IQBAL+TOWN+SIDE,LAHORE+,PAKISTAN"
SAMANZAR SOCIETY,"473,400","1,083,000","SAMANZAR+SOCIETY,LAHORE+,PAKISTAN"
SAMSANI ROAD,"458,700","703,800","SAMSANI+ROAD,LAHORE+,PAKISTAN"
SATTOKATLA,"413,700","899,700","SATTOKATLA,LAHORE+,PAKISTAN"
SHADAY WAL,"283,800","469,200","SHADAY+WAL,LAHORE+,PAKISTAN"
SHAH SHARIF / KALAN MORE,"294,300","1,083,000","SHAH+SHARIF+/+KALAN+MORE,LAHORE+,PAKISTAN"
SHAHPUR KHANPUR,"288,000","516,300","SHAHPUR+KHANPUR,LAHORE+,PAKISTAN"
KHAYABAN JINNAH TO RAIWIND ROAD BOTHSIDE,"592,800","1,210,800","KHAYABAN+JINNAH+TO+RAIWIND+ROAD+BOTHSIDE,LAHORE+,PAKISTAN"
SHER SHAH TOWN,"162,300","264,900","SHER+SHAH+TOWN,LAHORE+,PAKISTAN"
