,Unnamed: 0,hhcode,Province,Region,PSU,idc,first_job_income,second_job_income,psu,weight,district,stratum,code
10412,47112,2502101801.0,Punjab,Urban,25021018.0,1.0,35500.0,,25021018.0,1617.0234186763942,2502,LAHORE,2502.0
10413,47120,2502101802.0,Punjab,Urban,25021018.0,1.0,31000.0,,25021018.0,1617.0234186763942,2502,LAHORE,2502.0
10414,47122,2502101803.0,Punjab,Urban,25021018.0,1.0,38000.0,,25021018.0,1617.0234186763942,2502,LAHORE,2502.0
10415,47125,2502101804.0,Punjab,Urban,25021018.0,1.0,12000.0,,25021018.0,1617.0234186763942,2502,LAHORE,2502.0
10416,47127,2502101805.0,Punjab,Urban,25021018.0,2.0,15000.0,,25021018.0,1617.0234186763942,2502,LAHORE,2502.0
10417,47128,2502101805.0,Punjab,Urban,25021018.0,3.0,15000.0,,25021018.0,1617.0234186763942,2502,LAHORE,2502.0
10418,47129,2502101805.0,Punjab,Urban,25021018.0,51.0,8000.0,,25021018.0,1617.0234186763942,2502,LAHORE,2502.0
10419,47133,2502101806.0,Punjab,Urban,25021018.0,1.0,14000.0,,25021018.0,1617.0234186763942,2502,LAHORE,2502.0
10420,47135,2502101807.0,Punjab,Urban,25021018.0,1.0,18000.0,,25021018.0,1617.0234186763942,2502,LAHORE,2502.0
10421,47136,2502101807.0,Punjab,Urban,25021018.0,2.0,12000.0,,25021018.0,1617.0234186763942,2502,LAHORE,2502.0
10422,47138,2502101808.0,Punjab,Urban,25021018.0,1.0,15000.0,,25021018.0,1617.0234186763942,2502,LAHORE,2502.0
10423,47139,2502101808.0,Punjab,Urban,25021018.0,2.0,10000.0,,25021018.0,1617.0234186763942,2502,LAHORE,2502.0
10424,47140,2502101808.0,Punjab,Urban,25021018.0,51.0,12000.0,,25021018.0,1617.0234186763942,2502,LAHORE,2502.0
10425,47143,2502101809.0,Punjab,Urban,25021018.0,1.0,30000.0,,25021018.0,1617.0234186763942,2502,LAHORE,2502.0
10426,47146,2502101810.0,Punjab,Urban,25021018.0,1.0,25000.0,,25021018.0,1617.0234186763942,2502,LAHORE,2502.0
10427,47149,2502101811.0,Punjab,Urban,25021018.0,1.0,20000.0,,25021018.0,1617.0234186763942,2502,LAHORE,2502.0
10428,47151,2502101812.0,Punjab,Urban,25021018.0,1.0,12000.0,,25021018.0,1617.0234186763942,2502,LAHORE,2502.0
10429,47152,2502101812.0,Punjab,Urban,25021018.0,2.0,9000.0,,25021018.0,1617.0234186763942,2502,LAHORE,2502.0
10430,47156,2502102201.0,Punjab,Urban,25021022.0,1.0,60000.0,,25021022.0,2572.1415401659124,2502,LAHORE,2502.0
10431,47159,2502102202.0,Punjab,Urban,25021022.0,2.0,120000.0,,25021022.0,2572.1415401659124,2502,LAHORE,2502.0
10432,47165,2502102202.0,Punjab,Urban,25021022.0,8.0,50000.0,,25021022.0,2572.1415401659124,2502,LAHORE,2502.0
